﻿牲,106
﻿豆,199
﻿腐,125
﻿菜,289
﻿齐,2926
﻿闹,895
﻿凶,767
﻿搁,83
﻿罐,20
﻿钥,24
﻿匙,40
﻿捅,7
﻿闩,17
﻿屋,273
﻿满,2308
﻿腮,70
﻿姓,3138
﻿昌,751
﻿务,408
﻿农,162
﻿颇,470
﻿京,2371
﻿贩,156
﻿绸,87
﻿缎,148
﻿载,1028
﻿账,246
﻿目,1335
﻿县,1537
﻿洒,359
﻿借,1408
﻿宿,478
﻿惹,405
﻿灾,393
﻿款,223
﻿顷,159
﻿刻,1037
﻿备,3414
﻿毒,491
﻿解,1868
﻿怜,925
﻿含,467
﻿霉,33
﻿碰,306
﻿庄,1141
﻿脏,80
﻿屎,94
﻿臭,163
﻿奇,1194
﻿闻,2430
﻿盼,290
﻿够,712
﻿针,183
﻿除,1077
﻿包,1273
﻿仇,2277
﻿寿,1449
﻿康,460
﻿宁,925
﻿答,908
﻿唉,1443
﻿赴,857
﻿莲,829
﻿枉,1066
﻿阿,558
﻿黎,307
﻿民,2603
﻿判,184
﻿窗,281
﻿砚,104
﻿磨,339
﻿受,3464
﻿廷,889
﻿拯,307
﻿九,1714
﻿期,902
﻿牌,834
﻿状,1324
﻿护,809
﻿章,1046
﻿骡,57
﻿撒,287
﻿料,1111
﻿特,1171
﻿辞,2004
﻿鼓,1312
﻿赶,1941
﻿纸,327
﻿化,971
﻿份,382
﻿五,3306
﻿捱,26
﻿肯,1348
﻿剥,156
﻿赤,446
﻿露,475
﻿撞,339
﻿衣,1841
﻿件,1465
﻿搅,203
﻿条,1223
﻿精,835
﻿尤,306
﻿块,426
﻿凑,165
﻿藏,1099
﻿孙,3077
﻿钟,447
﻿馗,2
﻿入,2254
﻿签,76
﻿审,620
﻿拴,55
﻿宽,679
﻿阔,77
﻿眠,252
﻿悬,495
﻿河,2002
﻿语,1387
﻿男,1263
﻿擎,111
﻿觅,113
﻿卑,479
﻿祢,107
﻿衡,139
﻿义,3134
﻿村,616
﻿勤,411
﻿习,606
﻿经,1191
﻿史,648
﻿幕,60
﻿荐,343
﻿操,1526
﻿贼,5336
﻿士,2861
﻿需,100
﻿辜,196
﻿负,1001
﻿栋,158
﻿梁,1555
﻿志,1126
﻿运,630
﻿困,955
﻿浅,298
﻿际,128
﻿壮,784
﻿融,104
﻿膑,306
﻿扰,470
﻿升,1157
﻿乐,1543
﻿尧,148
﻿修,1279
﻿端,1333
﻿枪,1599
﻿画,1099
﻿绕,318
﻿模,498
﻿恼,1172
﻿昂,181
﻿貌,812
﻿狡,74
﻿欺,1151
﻿罔,24
﻿势,944
﻿力,1780
﻿压,639
﻿微,361
﻿穴,223
﻿笼,373
﻿牢,876
﻿邦,2056
﻿英,3479
﻿雄,3159
﻿豪,1001
﻿杰,694
﻿某,2441
﻿荀,154
﻿彧,18
﻿攸,75
﻿郭,686
﻿嘉,175
﻿昱,102
﻿智,561
﻿陈,1969
﻿辽,487
﻿褚,313
﻿李,4297
﻿典,392
﻿岑,260
﻿彭,362
﻿孝,1556
﻿夏,789
﻿惇,163
﻿逆,463
﻿吊,360
﻿奠,205
﻿墓,146
﻿坟,435
﻿牧,220
﻿唔,680
﻿击,388
﻿鸣,382
﻿呼,939
﻿架,210
﻿囊,334
﻿桶,85
